population	assembly_accession	wgs_set_name	study_accession	study_title	sample_accession	run_accession	fastq_bytes	number_of_files	instrument_model	library_layout	library_strategy
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894395	SRR652306	0.010264604978146963	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894406	SRR652307	0.01244651900651661	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894407	SRR652327	0.012980766995497106	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894408	SRR652339	0.010241331192446523	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894409	SRR652340	0.011019465142453555	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894410	SRR652341	0.00902274976579065	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894411	SRR652342	0.008563999101170339	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894412	SRR652343	0.009802667907024443	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894434	SRR652344	0.015794249956343265	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894435	SRR652345	0.012312662806834851	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894436	SRR652346	0.016016296553061693	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894437	SRR652347	0.012976813720342761	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652440	0.013280150047648931	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652441	0.005460733559630171	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652444	0.025600848874091753	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652450	0.009665285909250088	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652439	0.010104732523359417	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652449	0.005126188500980788	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652442	0.024179678302971297	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652443	0.0336918512784905	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652445	0.00970046474958508	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652446	0.0168818922356877	2	Illumina HiSeq 2000	PAIRED	WGS
Tibetan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894461	SRR652448	0.07196879457205796	2	Illumina HiSeq 2000	PAIRED	WGS
Penzhou	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894438	SRR652348	0.008347705706000852	2	Illumina HiSeq 2000	PAIRED	WGS
Penzhou	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894439	SRR652349	0.009937766382790869	2	Illumina HiSeq 2000	PAIRED	WGS
Penzhou	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894440	SRR652350	0.011802773498857277	2	Illumina HiSeq 2000	PAIRED	WGS
Wujin	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894441	SRR652351	0.013917344973378931	2	Illumina HiSeq 2000	PAIRED	WGS
Wujin	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894442	SRR652352	0.012385169556182518	2	Illumina HiSeq 2000	PAIRED	WGS
Wujin	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894443	SRR652353	0.009365283050101425	2	Illumina HiSeq 2000	PAIRED	WGS
Yanan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894444	SRR652354	0.010243707075460406	2	Illumina HiSeq 2000	PAIRED	WGS
Yanan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894445	SRR652355	0.007860333424105193	2	Illumina HiSeq 2000	PAIRED	WGS
Yanan	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894446	SRR652356	0.00950172410466621	2	Illumina HiSeq 2000	PAIRED	WGS
Neijiang	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894447	SRR652357	0.012953464866768627	2	Illumina HiSeq 2000	PAIRED	WGS
Neijiang	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894448	SRR652362	0.014198343923453649	2	Illumina HiSeq 2000	PAIRED	WGS
Neijiang	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894452	SRR652363	0.008081435712483653	2	Illumina HiSeq 2000	PAIRED	WGS
Jinhua	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894455	SRR652374	0.008278325355604466	2	Illumina HiSeq 2000	PAIRED	WGS
Jinhua	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894456	SRR652375	0.010128604754754633	2	Illumina HiSeq 2000	PAIRED	WGS
Jinhua	GCA_000472085	AORO02	PRJNA186497	Sus Genome sequencing and assembly	SAMN01894457	SRR652376	0.008531572656465869	2	Illumina HiSeq 2000	PAIRED	WGS
Jinhua	GCA_001700135	LUXX01	PRJNA309108	Sus scrofa Genome sequencing and assembly	SAMN04440480	SRR3123382	0.043297271718074626	2	Illumina HiSeq 2500	PAIRED	WGS
Jinhua	GCA_001700135	LUXX01	PRJNA309108	Sus scrofa Genome sequencing and assembly	SAMN04440480	SRR3123387	0.02318668073439767	2	Illumina HiSeq 2500	PAIRED	WGS
Jinhua	GCA_001700135	LUXX01	PRJNA309108	Sus scrofa Genome sequencing and assembly	SAMN04440480	SRR3123375	0.045213841936856625	2	Illumina HiSeq 2500	PAIRED	WGS
Jinhua	GCA_001700135	LUXX01	PRJNA309108	Sus scrofa Genome sequencing and assembly	SAMN04440480	SRR3123377	0.036564886438100075	2	Illumina HiSeq 2500	PAIRED	WGS
Jinhua	GCA_001700135	LUXX01	PRJNA309108	Sus scrofa Genome sequencing and assembly	SAMN04440480	SRR3123381	0.031336923402705	2	Illumina HiSeq 2500	PAIRED	WGS
Jinhua	GCA_001700135	LUXX01	PRJNA309108	Sus scrofa Genome sequencing and assembly	SAMN04440480	SRR3123384	0.019775222678617865	2	Illumina HiSeq 2500	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN18035060	SRR13775064	0.1666376959228728	2	HiSeq X Ten	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234336	SRR13786952	0.02915771012158075	2	HiSeq X Ten	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234337	SRR13786951	0.027691450352904212	2	HiSeq X Ten	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234338	SRR13786949	0.026698140194639564	2	HiSeq X Ten	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234339	SRR13786948	0.03029181071815401	2	HiSeq X Ten	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234340	SRR13786947	0.02730059805617202	2	HiSeq X Ten	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234341	SRR13786946	0.027123124698846368	2	HiSeq X Ten	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234342	SRR13786945	0.030891912969309487	2	HiSeq X Ten	PAIRED	WGS
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234691	SRR12805724	0.001827393782150466	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234691	SRR12805717	0.007170861793383665	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234692	SRR12805716	0.006694274744404538	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234692	SRR12805723	0.0014062845757507603	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234693	SRR12805715	0.0063258913778554415	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234693	SRR12805719	0.0020713883177450043	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234694	SRR12805728	0.00575322202166717	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234694	SRR12805711	0.001336789313427289	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234695	SRR12805726	0.0015667064717490575	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234695	SRR12805727	0.005622035352644161	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234696	SRR12805718	0.00598780871314375	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234696	SRR12805725	0.0015568691751468577	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234697	SRR12805714	0.0063735428784639225	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234697	SRR12805722	0.0015412504226333112	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234698	SRR12805721	0.0009608298105376889	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234698	SRR12805713	0.0066405490279066726	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234699	SRR12805720	0.0013302808947628364	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Ningxiang	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234699	SRR12805712	0.00631086470275477	2	Illumina NovaSeq 6000	PAIRED	RNA-Seq
Debao	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234287	SRR13786995	0.026709076023507805	2	HiSeq X Ten	PAIRED	WGS
Debao	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234288	SRR13786994	0.0263818385947161	2	HiSeq X Ten	PAIRED	WGS
Debao	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234289	SRR13786983	0.024432290974800708	2	HiSeq X Ten	PAIRED	WGS
Debao	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234290	SRR13786972	0.030962476946115203	2	HiSeq X Ten	PAIRED	WGS
Debao	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234291	SRR13786961	0.026120863582946185	2	HiSeq X Ten	PAIRED	WGS
Debao	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234292	SRR13786950	0.0287727572804215	2	HiSeq X Ten	PAIRED	WGS
Debao	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234293	SRR13786943	0.02791276920652308	2	HiSeq X Ten	PAIRED	WGS
Qinshaohua	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234294	SRR13786942	0.030172963419317966	2	HiSeq X Ten	PAIRED	WGS
Qinshaohua	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234295	SRR13786941	0.029756030965472746	2	HiSeq X Ten	PAIRED	WGS
Qinshaohua	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234296	SRR13786940	0.03421829195940518	2	HiSeq X Ten	PAIRED	WGS
Qinshaohua	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234297	SRR13786993	0.034467795077944174	2	HiSeq X Ten	PAIRED	WGS
Qinshaohua	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234298	SRR13786992	0.03210762489288754	2	HiSeq X Ten	PAIRED	WGS
Qinshaohua	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234299	SRR13786991	0.02722531217841606	2	HiSeq X Ten	PAIRED	WGS
Qinshaohua	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234300	SRR13786990	0.027506601334607694	2	HiSeq X Ten	PAIRED	WGS
Xiaoer	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234301	SRR13786989	0.02467107622032927	2	HiSeq X Ten	PAIRED	WGS
Xiaoer	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234302	SRR13786988	0.02942309018180822	2	HiSeq X Ten	PAIRED	WGS
Xiaoer	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234303	SRR13786987	0.026854122634176747	2	HiSeq X Ten	PAIRED	WGS
Xiaoer	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234304	SRR13786986	0.048829971817212936	2	HiSeq X Ten	PAIRED	WGS
Xiaoer	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234305	SRR13786985	0.03645088314260647	2	HiSeq X Ten	PAIRED	WGS
Xiaoer	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234306	SRR13786984	0.027918476534978254	2	HiSeq X Ten	PAIRED	WGS
Xiaoer	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234307	SRR13786944	0.03861187235725083	2	HiSeq X Ten	PAIRED	WGS
Hechuan	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234308	SRR13786982	0.04499571474752884	2	HiSeq X Ten	PAIRED	WGS
Hechuan	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234309	SRR13786981	0.028605649289602297	2	HiSeq X Ten	PAIRED	WGS
Hechuan	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234310	SRR13786980	0.025692644114315044	2	HiSeq X Ten	PAIRED	WGS
Hechuan	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234311	SRR13786979	0.028507218183221994	2	HiSeq X Ten	PAIRED	WGS
Hechuan	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234312	SRR13786978	0.026537994438513124	2	HiSeq X Ten	PAIRED	WGS
Hechuan	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234313	SRR13786977	0.027282765335257864	2	HiSeq X Ten	PAIRED	WGS
Hechuan	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234314	SRR13786976	0.03150255807577196	2	HiSeq X Ten	PAIRED	WGS
Tiegu	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234315	SRR13786975	0.030194982701686968	2	HiSeq X Ten	PAIRED	WGS
Tiegu	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234316	SRR13786974	0.027655264500936028	2	HiSeq X Ten	PAIRED	WGS
Tiegu	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234317	SRR13786973	0.026874259911892295	2	HiSeq X Ten	PAIRED	WGS
Tiegu	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234318	SRR13786971	0.0273463721950975	2	HiSeq X Ten	PAIRED	WGS
Tiegu	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234319	SRR13786970	0.031884897749478114	2	HiSeq X Ten	PAIRED	WGS
Tiegu	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234320	SRR13786969	0.03668928311799391	2	HiSeq X Ten	PAIRED	WGS
Tiegu	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234321	SRR13786968	0.033586460970582266	2	HiSeq X Ten	PAIRED	WGS
Daweizi	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234322	SRR13786967	0.037727254597484716	2	HiSeq X Ten	PAIRED	WGS
Daweizi	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234323	SRR13786966	0.038728762896425906	2	HiSeq X Ten	PAIRED	WGS
Daweizi	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234324	SRR13786965	0.03983113865615451	2	HiSeq X Ten	PAIRED	WGS
Daweizi	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234325	SRR13786964	0.03801423011918814	2	HiSeq X Ten	PAIRED	WGS
Daweizi	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234326	SRR13786963	0.03103436714718555	2	HiSeq X Ten	PAIRED	WGS
Daweizi	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234327	SRR13786962	0.03395657390683482	2	HiSeq X Ten	PAIRED	WGS
Daweizi	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234328	SRR13786960	0.02894390202800423	2	HiSeq X Ten	PAIRED	WGS
Shaziling	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234329	SRR13786959	0.03283854107212392	2	HiSeq X Ten	PAIRED	WGS
Shaziling	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234330	SRR13786958	0.03064352546516602	2	HiSeq X Ten	PAIRED	WGS
Shaziling	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234331	SRR13786957	0.034135034309656476	2	HiSeq X Ten	PAIRED	WGS
Shaziling	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234332	SRR13786956	0.03269154637018801	2	HiSeq X Ten	PAIRED	WGS
Shaziling	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234333	SRR13786955	0.03093330059073196	2	HiSeq X Ten	PAIRED	WGS
Shaziling	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234334	SRR13786954	0.029900488892053545	2	HiSeq X Ten	PAIRED	WGS
Shaziling	GCA_020567905	JADCTU01	PRJNA531381	Sus scrofa domesticus breed:Ningxiang Genome sequencing and assembly	SAMN22234335	SRR13786953	0.035342326775207766	2	HiSeq X Ten	PAIRED	WGS
