assembly_accession    wgs_set study_accession study_title read_accession  number_of_files:instrument_model:library_layoutlibrary_strategy
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652258	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652443	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652445	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652446	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652448	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652257	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652260	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652261	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652307	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652340	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652341	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652344	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652345	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652349	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652351	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652355	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652357	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652375	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652376	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652379	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652439	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652449	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652259	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652263	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652265	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652266	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652268	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652303	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652306	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652343	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652347	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652350	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652352	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652353	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652356	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652362	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652363	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652374	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652377	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652378	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652440	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652441	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652444	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_000472085	 AORO02	 PRJNA186497	 Sus Genome sequencing and assembly	 SRR652450	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3118296	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123259	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123278	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123282	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123332	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123335	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123343	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123363	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123367	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123392	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123398	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123401	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123253	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123260	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123270	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123271	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123280	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123327	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123333	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123339	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123344	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123345	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123346	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123347	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123371	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123382	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123387	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123396	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123405	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123434	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3105582	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3118295	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3118615	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123254	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123316	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123348	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123351	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123354	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123356	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123360	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123365	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123369	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123373	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123375	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123377	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123381	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123384	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123391	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123393	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123394	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123395	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123397	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123403	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123409	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123410	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700135	 LUXX01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3105581	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3118296	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123259	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123278	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123282	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123332	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123335	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123343	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123363	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123367	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123392	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123398	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123401	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123253	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123260	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123270	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123271	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123280	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123327	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123333	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123339	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123344	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123345	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123346	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123347	 2:Illumina HiSeq 2000:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123371	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123382	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123387	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123396	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123405	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123434	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3105582	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3118295	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3118615	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123254	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123316	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123348	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123351	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123354	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123356	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123360	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123365	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123369	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123373	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123375	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123377	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123381	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123384	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123391	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123393	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123394	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123395	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123397	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123403	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123409	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123410	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700155	 LUXR01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3105581	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3118296	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123259	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123278	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123282	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123332	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123335	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123343	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123363	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123367	 2:Illumina HiSeq 2500:PAIRED:WGS
GCA_001700165	 LUXS01	 PRJNA309108	 Sus scrofa Genome sequencing and assembly	 SRR3123392	 2:Illumina HiSeq 2500:PAIRED:WGS
